llmModel,pipeline,useFewshot,n_experimentos,acerto_full_rate,acerto_divisao_rate,acerto_grupo_rate,acerto_classe_rate,tempo_medio,tokens_medios,tempo_total,tokens_totais
gemini-1.5-flash,C,False,9,0.0,100.0,100.0,33.33333333333333,12.529935466666666,83351.77777777778,112.7694192,750166
gemini-1.5-flash,C,True,9,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,14.30174808888889,139598.0,128.7157328,1256382
gemini-2.0-flash,C,False,9,33.33333333333333,100.0,100.0,100.0,7.205390612222222,83418.0,64.84851551,750762
gemini-2.0-flash,C,True,9,66.66666666666666,100.0,100.0,100.0,8.087481074222222,139597.0,72.787329668,1256373
gpt-4o,A,False,9,33.33333333333333,100.0,100.0,100.0,46.65004089222222,26533.444444444445,419.85036802999997,238801
gpt-4o,A,True,9,44.44444444444444,100.0,77.77777777777779,77.77777777777779,55.29742521666666,214581.66666666666,497.67682694999996,1931235
gpt-4o,B,False,9,66.66666666666666,100.0,100.0,100.0,46.76580278111111,26615.666666666668,420.89222503,239541
gpt-4o,B,True,9,88.88888888888889,100.0,88.88888888888889,88.88888888888889,68.52584709333333,73569.11111111111,616.73262384,662122
gpt-4o-mini,A,False,9,33.33333333333333,66.66666666666666,66.66666666666666,77.77777777777779,53.81938791222222,26767.0,484.37449121,240903
gpt-4o-mini,A,True,9,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,71.1518658811111,214996.55555555556,640.36679293,1934969
gpt-4o-mini,B,False,9,22.22222222222222,55.55555555555556,55.55555555555556,55.55555555555556,58.736407042222226,26848.666666666668,528.6276633800001,241638
gpt-4o-mini,B,True,9,33.33333333333333,66.66666666666666,55.55555555555556,66.66666666666666,67.83555714444444,74324.88888888889,610.5200143,668924
o1,A,False,9,44.44444444444444,100.0,100.0,100.0,285.73525093333336,39227.0,2571.6172584,353043
o1,A,True,9,66.66666666666666,100.0,100.0,100.0,375.36198205555553,228159.11111111112,3378.2578384999997,2053432
o1,B,False,9,55.55555555555556,100.0,88.88888888888889,88.88888888888889,276.50762952222226,41727.0,2488.5686657,375543
o1,B,True,9,44.44444444444444,100.0,100.0,100.0,322.59884154444444,88034.22222222222,2903.3895739,792308
